Time,Temperature (C),Humidity (%)
10:10:10,21.0,47.0
10:10:14,21.0,47.0
10:10:16,21.0,47.0
10:10:17,21.0,48.0
10:10:20,21.0,47.0
10:10:23,21.0,47.0
10:10:25,21.0,47.0
10:10:31,21.0,46.0
10:10:33,21.0,47.0
10:10:35,21.0,47.0
10:10:37,21.0,47.0
10:10:39,21.0,46.0
10:10:40,21.0,47.0
10:10:42,21.0,47.0
10:10:44,21.0,47.0
10:10:45,21.0,47.0
10:10:47,21.0,47.0
10:10:49,21.0,46.0
10:10:51,21.0,47.0
10:10:53,21.0,46.0
10:10:57,21.0,46.0
10:10:58,21.0,46.0
10:11:00,21.0,47.0
10:11:02,21.0,47.0
10:11:03,21.0,46.0
10:11:05,21.0,47.0
10:11:06,21.0,47.0
10:11:08,21.0,47.0
10:11:09,21.0,47.0
10:11:11,21.0,47.0
10:11:13,21.0,47.0
10:11:14,21.0,47.0
10:11:16,21.0,47.0
10:11:17,21.0,47.0
10:11:19,21.0,47.0
10:11:20,21.0,47.0
10:11:22,21.0,47.0
10:11:23,21.0,47.0
10:11:25,21.0,47.0
10:11:26,21.0,47.0
10:11:28,21.0,47.0
10:11:29,20.0,48.0
10:11:31,20.0,48.0
10:11:32,20.0,48.0
10:11:34,21.0,47.0
10:11:35,20.0,48.0
10:11:37,20.0,48.0
10:11:38,20.0,48.0
10:11:40,20.0,48.0
10:11:42,20.0,48.0
10:11:43,20.0,48.0
10:11:45,20.0,48.0
10:11:46,20.0,48.0
10:11:48,20.0,48.0
10:11:49,20.0,48.0
10:11:51,20.0,48.0
10:11:52,20.0,48.0
10:11:54,20.0,48.0
10:11:55,20.0,47.0
10:11:57,20.0,48.0
10:11:58,20.0,47.0
10:12:00,20.0,47.0
10:12:01,20.0,47.0
10:12:03,20.0,47.0
10:12:04,20.0,47.0
10:12:06,20.0,47.0
10:12:07,20.0,48.0
10:12:09,20.0,47.0
10:12:11,20.0,47.0
10:12:13,20.0,47.0
10:12:15,20.0,47.0
10:12:16,20.0,47.0
10:12:18,20.0,47.0
10:12:19,20.0,47.0
10:12:21,20.0,47.0
10:12:22,20.0,47.0
10:12:24,20.0,47.0
10:12:25,20.0,47.0
10:12:27,20.0,47.0
10:12:29,20.0,47.0
10:12:30,20.0,47.0
10:12:32,20.0,47.0
10:12:33,20.0,47.0
10:12:35,20.0,47.0
10:12:37,20.0,47.0
10:12:38,20.0,47.0
10:12:40,20.0,47.0
10:12:41,20.0,47.0
10:12:43,20.0,47.0
10:12:44,20.0,47.0
10:12:46,20.0,47.0
10:12:48,20.0,47.0
10:12:50,20.0,46.0
10:12:51,20.0,47.0
10:12:53,20.0,47.0
10:12:54,20.0,47.0
10:12:56,20.0,47.0
10:12:57,20.0,47.0
10:12:59,20.0,47.0
10:13:01,20.0,47.0
10:13:03,20.0,47.0
10:13:04,20.0,47.0
10:13:06,20.0,47.0
10:13:07,20.0,47.0
10:13:09,20.0,47.0
10:13:10,20.0,47.0
10:13:12,20.0,47.0
10:13:13,20.0,47.0
10:13:15,20.0,47.0
10:13:17,20.0,47.0
10:13:19,20.0,47.0
10:13:20,20.0,47.0
10:13:22,20.0,47.0
10:13:23,20.0,47.0
10:13:25,20.0,47.0
10:13:27,20.0,47.0
10:13:28,20.0,47.0
10:13:30,20.0,47.0
10:13:31,20.0,47.0
10:13:33,20.0,47.0
10:13:35,20.0,47.0
10:13:36,20.0,47.0
10:13:38,20.0,47.0
10:13:39,20.0,47.0
10:13:41,20.0,47.0
10:13:42,20.0,47.0
10:13:44,20.0,47.0
10:13:45,20.0,47.0
10:13:47,20.0,47.0
10:13:49,20.0,47.0
10:13:50,20.0,47.0
10:13:52,20.0,47.0
10:13:54,20.0,47.0
10:13:55,20.0,47.0
10:13:57,20.0,47.0
10:13:58,20.0,47.0
10:14:00,20.0,47.0
10:14:01,20.0,47.0
10:14:03,20.0,47.0
10:14:04,20.0,47.0
10:14:06,20.0,47.0
10:14:08,20.0,47.0
10:14:09,20.0,47.0
10:14:11,20.0,47.0
10:14:12,20.0,47.0
10:14:14,20.0,47.0
10:14:15,20.0,47.0
10:14:17,20.0,47.0
10:14:18,20.0,47.0
10:14:20,20.0,47.0
10:14:22,20.0,47.0
10:14:23,20.0,47.0
10:14:25,20.0,47.0
10:14:27,19.0,47.0
10:14:28,20.0,47.0
10:14:30,20.0,47.0
10:14:31,20.0,47.0
10:14:33,19.0,47.0
10:14:34,19.0,47.0
10:14:36,19.0,47.0
10:14:37,19.0,47.0
10:14:39,19.0,47.0
10:14:40,19.0,47.0
10:14:42,19.0,47.0
10:14:44,20.0,47.0
10:14:46,19.0,47.0
10:14:48,19.0,47.0
10:14:49,19.0,47.0
10:14:51,19.0,47.0
10:14:52,19.0,47.0
10:14:54,19.0,47.0
10:14:56,19.0,47.0
10:14:57,19.0,47.0
10:14:59,19.0,47.0
10:15:00,19.0,47.0
10:15:02,19.0,47.0
10:15:04,19.0,47.0
10:15:05,19.0,47.0
10:15:07,19.0,48.0
10:15:08,19.0,47.0
10:15:10,19.0,47.0
10:15:12,19.0,47.0
10:15:14,19.0,47.0
10:15:15,19.0,47.0
10:15:17,19.0,47.0
10:15:18,19.0,47.0
10:15:20,19.0,47.0
10:15:21,19.0,47.0
10:15:23,19.0,47.0
10:15:24,19.0,48.0
10:15:26,19.0,48.0
10:15:28,19.0,47.0
10:15:30,19.0,47.0
10:15:31,19.0,47.0
10:15:34,19.0,47.0
10:15:36,19.0,47.0
10:15:37,19.0,47.0
10:15:39,19.0,47.0
10:15:40,19.0,48.0
10:15:42,19.0,48.0
10:15:44,19.0,48.0
10:15:45,19.0,47.0
10:15:47,19.0,47.0
10:15:49,19.0,47.0
10:15:50,19.0,47.0
10:15:52,19.0,48.0
10:15:53,19.0,48.0
10:15:55,19.0,48.0
10:15:56,19.0,48.0
10:15:58,19.0,48.0
10:16:00,19.0,47.0
10:16:02,19.0,47.0
10:16:03,19.0,48.0
10:16:05,19.0,48.0
10:16:06,19.0,48.0
10:16:08,19.0,48.0
10:16:09,19.0,48.0
10:16:11,19.0,48.0
10:16:12,19.0,48.0
10:16:14,19.0,48.0
10:16:15,19.0,48.0
10:16:17,19.0,48.0
10:16:18,19.0,48.0
10:16:20,19.0,48.0
