Hora,Temperatura (C),Voltaje C (V)
10:53:13,22.5788140507,0.9029025544
10:53:14,22.5756889554,0.9021525315
10:53:15,22.57256386,0.9067776727
10:53:16,22.5756889554,0.9020275277
10:53:17,22.57256386,0.8995274514
10:53:18,22.57256386,0.89915244
10:53:19,22.5663136692,0.89915244
10:53:20,22.57256386,0.9000274667
10:53:21,22.5694387646,0.8995274514
10:53:22,22.5850642415,0.89915244
10:53:23,22.5881893368,0.901152501
10:53:24,22.5913144322,0.8989024323
10:53:25,22.5913144322,0.89915244
10:53:26,22.6006897183,0.9007774895
10:53:27,22.6100650044,0.8995274514
10:53:28,22.6163151952,0.8985274209
10:53:29,22.6256904813,0.8987774285
10:53:30,22.6288155766,0.8979024018
10:53:31,22.6225653859,0.8976523942
10:53:32,22.6131900998,0.8982774133
10:53:33,22.6163151952,0.8990274361
10:53:34,22.6163151952,0.8987774285
10:53:35,22.6163151952,0.8990274361
10:53:36,22.6038148137,0.8982774133
10:53:37,22.6100650044,0.8995274514
10:53:38,22.6038148137,0.9009024934
10:53:39,22.5913144322,0.8985274209
10:53:40,22.5819391461,0.8992774438
10:53:41,22.5819391461,0.8984024171
10:53:42,22.5819391461,0.8985274209
10:53:43,22.5788140507,0.9007774895
10:53:45,22.57256386,0.9037775811
10:53:46,22.5694387646,0.9062776574
10:53:47,22.57256386,0.9015275124
10:53:48,22.5631885739,0.8941522874
10:53:49,22.5631885739,0.8926522416
10:53:50,22.5600634785,0.9050276193
10:53:51,22.547563097,0.9042775964
10:53:52,22.5506881924,0.9017775201
10:53:53,22.547563097,0.8995274514
10:53:54,22.5413129063,0.8956523331
10:53:55,22.5381878109,0.8972773827
10:53:56,22.5319376202,0.9009024934
10:53:57,22.5288125248,0.8962773522
10:53:58,22.5256874294,0.9001524705
10:53:59,22.5225623341,0.8830269478
10:54:00,22.5163121433,0.8867770623
10:54:01,22.5194372387,0.8865270547
10:54:02,22.5100619526,0.8907771844
10:54:03,22.5069368572,0.9024025391
10:54:04,22.5006866665,0.9006524857
10:54:05,22.4913113804,0.8932772607
10:54:06,22.4944364757,0.8947773064
10:54:07,22.4913113804,0.8937772759
10:54:08,22.4913113804,0.8961523484
10:54:09,22.4913113804,0.8949023103
10:54:10,22.4913113804,0.8949023103
10:54:11,22.4913113804,0.9260282601
10:54:12,22.488186285,0.9135278787
10:54:13,22.4913113804,0.8976523942
10:54:14,22.4975615711,0.8911521958
10:54:15,22.5444380016,2.4546999115
10:54:17,22.5600634785,2.4808257088
10:54:18,22.6038148137,2.4815757317
10:54:19,22.6631916257,2.4812007202
10:54:20,22.7319437239,2.4842008118
10:54:21,22.8100711081,2.4833257851
10:54:22,22.8913235878,2.4833257851
10:54:23,22.9788262581,2.4835757927
10:54:24,23.0632038331,2.4842008118
10:54:25,23.1350810266,2.4884509415
10:54:26,23.2069582202,2.4833257851
10:54:27,23.2725852229,2.482700766
10:54:28,23.3382122257,2.4864508805
10:54:29,23.4038392285,2.4845758232
10:54:30,23.4600909452,2.4849508347
10:54:31,23.5069673757,2.4854508499
10:54:32,23.5632190924,2.4854508499
10:54:33,23.6163457137,2.4865758843
10:54:34,23.6600970489,2.4858258614
10:54:35,23.7007232887,2.4845758232
10:54:36,23.7444746239,2.4853258461
10:54:37,23.7913510544,2.4845758232
10:54:38,23.8351023896,2.4853258461
10:54:39,23.872603534,2.486075869
10:54:40,23.9038544877,2.4868258919
10:54:41,23.9288552507,2.486075869
10:54:42,23.9601062044,2.4868258919
10:54:43,23.9944822535,2.4849508347
10:54:44,24.0351084933,2.4853258461
10:54:45,24.0694845424,2.4848258309
10:54:46,24.1038605914,2.4779506211
10:54:47,24.1382366405,2.4849508347
10:54:49,24.1726126896,2.4852008423
10:54:50,24.2069887387,2.4849508347
10:54:51,24.2382396924,2.4857008576
10:54:52,24.2726157414,2.4838258003
10:54:53,24.3163670766,2.4850758385
10:54:54,24.3569933164,2.4853258461
10:54:55,24.3819940794,2.4835757927
10:54:56,24.3944944609,2.4855758538
10:54:57,24.4226203192,2.4870758995
10:54:58,24.4382457961,2.4727004608
10:54:59,24.4694967498,2.4849508347
10:55:00,24.4976226081,2.4865758843
10:55:01,24.5194982757,2.4823257546
10:55:02,24.5444990387,2.4843258156
10:55:03,24.5663747063,2.4897009796
10:55:04,24.5913754692,2.4848258309
10:55:05,24.632001709,2.4850758385
10:55:06,24.657002472,2.4863258766
10:55:07,24.6757530442,2.4849508347
10:55:08,24.7007538072,2.4849508347
10:55:09,24.7195043794,2.4858258614
10:55:10,24.741380047,2.4848258309
10:55:11,24.7632557146,2.486075869
