Hora,Temperatura (C)
21:41:59,18.63
21:42:00,18.63
21:42:01,18.63
21:42:02,18.62
21:42:03,18.62
21:42:04,18.62
21:42:05,18.62
21:42:06,18.61
21:42:07,18.62
21:42:08,18.61
21:42:09,18.61
21:42:10,18.61
21:42:11,18.61
21:42:12,18.61
21:42:13,18.61
21:42:14,18.62
21:42:15,18.61
21:42:16,18.61
21:42:17,18.61
21:42:18,18.61
21:42:19,18.61
21:42:20,18.60
21:42:21,18.60
21:42:22,18.60
21:42:23,18.60
21:42:24,18.60
21:42:25,18.60
21:42:26,18.59
21:42:27,18.60
21:42:28,18.59
21:42:29,18.59
21:42:30,18.59
21:42:31,18.59
21:42:32,18.59
21:42:33,18.58
21:42:34,18.59
21:42:35,18.58
21:42:36,18.58
21:42:37,18.58
21:42:38,18.58
21:42:39,18.58
21:42:40,18.58
21:42:41,18.58
21:42:42,18.58
21:42:43,18.58
21:42:44,18.58
21:42:45,18.58
21:42:46,18.57
21:42:47,18.57
21:42:48,18.57
21:42:49,18.57
21:42:50,18.57
21:42:51,18.57
21:42:52,18.57
21:42:53,18.57
21:42:54,18.57
21:42:55,18.57
21:42:56,18.57
21:42:57,18.56
21:42:58,18.57
21:42:59,18.57
21:43:00,18.56
21:43:01,18.56
21:43:02,18.56
21:43:03,18.56
21:43:04,18.56
21:43:05,18.56
21:43:06,18.56
21:43:07,18.55
21:43:08,18.55
21:43:09,18.55
21:43:10,18.55
21:43:11,18.55
21:43:12,18.55
21:43:13,18.55
21:43:14,18.55
21:43:15,18.55
21:43:16,18.55
21:43:17,18.55
21:43:18,18.54
21:43:19,18.55
21:43:20,18.54
21:43:21,18.54
21:43:22,18.54
21:43:23,18.54
21:43:24,18.54
21:43:26,18.54
21:43:27,18.54
21:43:28,18.54
21:43:29,18.54
21:43:30,18.54
21:43:31,18.54
21:43:32,18.54
21:43:33,18.54
21:43:34,18.53
21:43:35,18.54
21:43:36,18.54
21:43:37,18.53
21:43:38,18.54
21:43:39,18.53
21:43:40,18.54
21:43:41,18.54
21:43:42,18.54
21:43:43,18.53
21:43:44,18.53
21:43:45,18.53
21:43:46,18.53
21:43:47,18.53
21:43:48,18.53
21:43:49,18.53
21:43:50,18.53
21:43:51,18.53
21:43:52,18.53
21:43:53,18.53
21:43:54,18.53
21:43:55,18.52
21:43:56,18.52
21:43:57,18.52
21:43:58,18.52
21:43:59,18.52
21:44:00,18.52
21:44:01,18.52
21:44:02,18.52
21:44:03,18.51
21:44:04,18.51
21:44:05,18.51
21:44:06,18.51
21:44:07,18.51
21:44:08,18.50
21:44:09,18.50
21:44:10,18.51
21:44:11,18.50
21:44:12,18.50
21:44:13,18.50
21:44:14,18.50
21:44:15,18.50
21:44:16,18.50
21:44:17,18.50
21:44:18,18.50
21:44:19,18.50
21:44:20,18.49
21:44:21,18.50
21:44:22,18.49
21:44:23,18.49
21:44:24,18.50
21:44:25,18.49
21:44:26,18.49
21:44:27,18.49
21:44:28,18.49
21:44:29,18.49
21:44:30,18.49
21:44:31,18.49
21:44:32,18.49
21:44:33,18.49
21:44:34,18.49
21:44:35,18.48
21:44:36,18.48
21:44:37,18.48
21:44:38,18.48
21:44:39,18.48
21:44:40,18.48
21:44:41,18.48
21:44:42,18.48
21:44:43,18.48
21:44:44,18.47
21:44:45,18.48
21:44:46,18.47
21:44:47,18.47
21:44:48,18.47
21:44:49,18.47
21:44:50,18.47
21:44:51,18.47
21:44:52,18.47
21:44:54,18.47
21:44:55,18.47
21:44:56,18.47
21:44:57,18.46
21:44:58,18.46
21:44:59,18.46
21:45:00,18.46
21:45:01,18.46
21:45:02,18.46
21:45:03,18.46
21:45:04,18.46
21:45:05,18.46
21:45:06,18.46
21:45:07,18.46
21:45:08,18.45
21:45:09,18.45
21:45:10,18.45
21:45:11,18.45
21:45:12,18.45
21:45:13,18.45
21:45:14,18.45
21:45:15,18.44
21:45:16,18.44
21:45:17,18.45
21:45:18,18.45
21:45:19,18.44
21:45:20,18.44
21:45:21,18.44
21:45:22,18.44
21:45:23,18.44
21:45:24,18.44
21:45:25,18.44
21:45:26,18.44
21:45:27,18.44
21:45:28,18.43
21:45:29,18.43
21:45:30,18.44
21:45:31,18.43
21:45:32,18.43
21:45:33,18.43
21:45:34,18.43
21:45:35,18.43
21:45:36,18.43
21:45:37,18.43
21:45:38,18.43
21:45:39,18.43
21:45:40,18.43
21:45:41,18.43
21:45:42,18.43
21:45:43,18.43
21:45:44,18.43
21:45:45,18.43
21:45:46,18.43
21:45:47,18.42
21:45:48,18.43
21:45:49,18.43
21:45:50,18.43
21:45:51,18.42
21:45:52,18.42
21:45:53,18.42
21:45:54,18.42
21:45:55,18.42
21:45:56,18.42
21:45:57,18.42
21:45:58,18.42
21:45:59,18.42
21:46:00,18.42
21:46:01,18.42
21:46:02,18.41
21:46:03,18.41
21:46:04,18.41
21:46:05,18.41
21:46:06,18.41
21:46:07,18.41
21:46:08,18.41
21:46:09,18.41
21:46:10,18.41
21:46:11,18.41
21:46:12,18.41
21:46:13,18.40
21:46:14,18.40
21:46:15,18.41
21:46:16,18.40
21:46:17,18.40
21:46:18,18.40
21:46:19,18.40
21:46:20,18.40
21:46:22,18.40
21:46:23,18.40
21:46:24,18.40
21:46:25,18.40
21:46:26,18.40
21:46:27,18.40
21:46:28,18.40
21:46:29,18.39
21:46:30,18.40
21:46:31,18.39
21:46:32,18.39
21:46:33,18.39
21:46:34,18.39
21:46:35,18.39
21:46:36,18.39
21:46:37,18.39
21:46:38,18.39
21:46:39,18.39
21:46:40,18.39
21:46:41,18.39
21:46:42,18.39
21:46:43,18.38
21:46:44,18.39
21:46:45,18.39
21:46:46,18.38
21:46:47,18.39
21:46:48,18.38
21:46:49,18.38
21:46:50,18.38
21:46:51,18.38
21:46:52,18.38
21:46:53,18.38
21:46:54,18.38
21:46:55,18.38
21:46:56,18.38
21:46:57,18.38
21:46:58,18.38
21:46:59,18.38
21:47:00,18.38
21:47:01,18.38
21:47:02,18.38
21:47:03,18.38
21:47:04,18.38
21:47:05,18.38
21:47:06,18.38
21:47:07,18.38
21:47:08,18.38
21:47:09,18.38
21:47:10,18.38
21:47:11,18.38
21:47:12,18.38
21:47:13,18.38
21:47:14,18.38
21:47:15,18.37
21:47:16,18.38
21:47:17,18.38
21:47:18,18.38
21:47:19,18.37
21:47:20,18.38
21:47:21,18.37
21:47:22,18.38
21:47:23,18.37
21:47:24,18.37
21:47:25,18.37
21:47:26,18.37
21:47:27,18.37
21:47:28,18.37
21:47:29,18.37
21:47:30,18.37
21:47:31,18.37
21:47:32,18.37
21:47:33,18.37
21:47:34,18.37
21:47:35,18.37
21:47:36,18.37
21:47:37,18.37
21:47:38,18.37
21:47:39,18.37
21:47:40,18.37
21:47:41,18.37
21:47:42,18.37
21:47:43,18.37
21:47:44,18.37
21:47:45,18.37
21:47:46,18.36
21:47:47,18.36
21:47:48,18.36
21:47:50,18.36
21:47:51,18.36
21:47:52,18.36
21:47:53,18.36
21:47:54,18.36
21:47:55,18.36
21:47:56,18.36
21:47:57,18.36
21:47:58,18.36
21:47:59,18.36
21:48:00,18.36
21:48:01,18.36
21:48:02,18.36
21:48:03,18.36
21:48:04,18.36
21:48:05,18.36
21:48:06,18.36
21:48:07,18.35
21:48:08,18.36
21:48:09,18.36
21:48:10,18.36
21:48:11,18.36
21:48:12,18.35
21:48:13,18.35
21:48:14,18.36
21:48:15,18.36
21:48:16,18.35
21:48:17,18.35
21:48:18,18.35
21:48:19,18.35
21:48:20,18.35
21:48:21,18.35
21:48:22,18.35
21:48:23,18.35
21:48:24,18.35
21:48:25,18.35
21:48:26,18.35
21:48:27,18.35
21:48:28,18.35
21:48:29,18.35
21:48:30,18.35
21:48:31,18.35
21:48:32,18.35
21:48:33,18.35
21:48:34,18.35
21:48:35,18.35
21:48:36,18.35
21:48:37,18.35
21:48:38,18.35
21:48:39,18.35
21:48:40,18.35
21:48:41,18.35
21:48:42,18.34
21:48:43,18.35
21:48:44,18.35
21:48:45,18.35
21:48:46,18.35
21:48:47,18.35
21:48:48,18.34
21:48:49,18.34
21:48:50,18.34
21:48:51,18.34
21:48:52,18.34
21:48:53,18.35
21:48:54,18.35
21:48:55,18.34
21:48:56,18.35
21:48:57,18.34
21:48:58,18.34
21:48:59,18.34
21:49:00,18.34
21:49:01,18.34
21:49:02,18.34
21:49:03,18.34
21:49:04,18.34
21:49:05,18.34
21:49:06,18.34
21:49:07,18.34
21:49:08,18.34
21:49:09,18.34
21:49:10,18.34
21:49:11,18.34
21:49:12,18.34
21:49:13,18.34
21:49:14,18.34
21:49:15,18.34
21:49:16,18.34
21:49:18,18.34
21:49:19,18.34
21:49:20,18.34
21:49:21,18.34
21:49:22,18.34
21:49:23,18.34
21:49:24,18.34
21:49:25,18.34
21:49:26,18.34
21:49:27,18.34
21:49:28,18.34
21:49:29,18.33
21:49:30,18.34
21:49:31,18.33
21:49:32,18.33
21:49:33,18.33
21:49:34,18.33
21:49:35,18.34
21:49:36,18.34
21:49:37,18.34
21:49:38,18.33
21:49:39,18.33
21:49:40,18.33
21:49:41,18.33
21:49:42,18.33
21:49:43,18.33
21:49:44,18.33
21:49:45,18.34
21:49:46,18.33
21:49:47,18.34
21:49:48,18.33
21:49:49,18.33
21:49:50,18.33
21:49:51,18.33
21:49:52,18.33
21:49:53,18.33
21:49:54,18.33
21:49:55,18.33
21:49:56,18.33
21:49:57,18.33
21:49:58,18.33
21:49:59,18.33
21:50:00,18.33
21:50:01,18.33
21:50:02,18.33
21:50:03,18.33
21:50:04,18.33
21:50:05,18.33
21:50:06,18.33
21:50:07,18.33
21:50:08,18.33
21:50:09,18.33
21:50:10,18.33
21:50:11,18.33
21:50:12,18.33
21:50:13,18.33
21:50:14,18.33
21:50:15,18.33
21:50:16,18.33
21:50:17,18.33
21:50:18,18.33
21:50:19,18.33
21:50:20,18.33
21:50:21,18.33
21:50:22,18.33
21:50:23,18.33
21:50:24,18.33
21:50:25,18.33
21:50:26,18.33
21:50:27,18.33
21:50:28,18.33
21:50:29,18.33
21:50:30,18.33
21:50:31,18.33
21:50:32,18.33
21:50:33,18.33
21:50:34,18.33
21:50:35,18.33
21:50:36,18.33
21:50:37,18.33
21:50:38,18.32
21:50:39,18.33
21:50:40,18.33
21:50:41,18.33
21:50:42,18.32
21:50:43,18.32
21:50:44,18.32
21:50:46,18.33
21:50:47,18.33
21:50:48,18.32
21:50:49,18.33
21:50:50,18.33
21:50:51,18.33
21:50:52,18.33
21:50:53,18.33
21:50:54,18.33
21:50:55,18.32
21:50:56,18.33
21:50:57,18.32
21:50:58,18.32
21:50:59,18.32
21:51:00,18.32
21:51:01,18.33
21:51:02,18.33
21:51:03,18.33
21:51:04,18.33
21:51:05,18.32
21:51:06,18.32
21:51:07,18.33
21:51:08,18.32
